Processing text...
Entities:
('1976:661', 'nmod', 'lagen')
('antagandeinkomsten', 'nsubj:pass', 'beräknats')
('antagandeinkomsten', 'nsubj', 'motsvara')
('antagandeinkomsten', 'nsubj', 'motsvarar')
('antagandeinkomst', 'nmod', 'beräkning')
('antagandeinkomst', 'nmod', 'procent')
('antagandeinkomst', 'nsubj:pass', 'räknas')
('ap-fonden', 'nmod', 'förvaltning')
('ap-fonden', 'nsubj', 'finns')
('ap-fonderna', 'nsubj:pass', 'avses')
('ap-fonderna', 'nsubj', 'avser')
('arbete', 'nmod', '1')
('arbete', 'nmod', 'anmälan')
('arbete', 'nmod', 'arbetstid')
('arbete', 'nmod', 'betalning')
('arbete', 'nmod', 'erfarenhet')
('arbete', 'nmod', 'ersättning')
('arbete', 'nmod', 'ersättningen')
('arbete', 'nmod', 'förbud')
('arbete', 'nmod', 'inkomst')
('arbete', 'nmod', 'lön')
('arbete', 'nmod', 'lönen')
('arbete', 'nmod', 'olycksfall')
('arbete', 'nmod', 'omfattning')
('arbete', 'nmod', 'omplacering')
('arbete', 'nmod', 'procent')
('arbete', 'nmod', 'värdet')
('arbete', 'nmod', 'året')
('arbete', 'nmod', 'återgång')
('arbeten', 'nmod', 'erfarenhet')
('arbete', 'nsubj:pass', 'anses')
('arbete', 'nsubj:pass', 'anställdes')
('arbete', 'nsubj', 'tillgängligt')
('arbetet', 'nmod', 'inverkan')
('arbetet', 'nmod', 'olycksfall')
('arbetet', 'nmod', 'resor')
('arbetet', 'nsubj:pass', 'påbörjas')
('arbetet', 'nsubj:pass', 'påbörjats')
('arbetet', 'nsubj:pass', 'utförts')
('arbetet', 'nsubj:pass', 'utökas')
('arbetet', 'nsubj', 'fortsätter')
('arbetet', 'nsubj', 'upphört')
('arbetsanpassning', 'nmod', 'bestämmelser')
('arbetsförhållanden', 'nmod', 'undersökning')
('arbetsförmåga', 'nmod', 'beaktande')
('arbetsförmåga', 'nmod', 'bedömning')
('arbetsförmåga', 'nmod', 'bedömningen')
('arbetsförmåga', 'nmod', 'graviditetspenning')
('arbetsförmåga', 'nmod', 'omfattning')
('arbetsförmåga', 'nmod', 'tillstånd')
('arbetsförmåga', 'nmod', 'uppföljning')
('arbetsförmåga', 'nmod', 'utnyttjande')
('arbetsförmågan', 'nmod', 'bedömning')
('arbetsförmågan', 'nmod', 'del')
('arbetsförmågan', 'nmod', 'förlust')
('arbetsförmågan', 'nmod', 'nedsättning')
('arbetsförmågan', 'nmod', 'nedsättningen')
('arbetsförmågan', 'nmod', '§')
('arbetsförmågan', 'nsubj:pass', 'anses')
('arbetsförmågan', 'nsubj:pass', 'bedömas')
('arbetsförmågan', 'nsubj:pass', 'förbättras')
('arbetsförmågan', 'nsubj:pass', 'omprövas')
('arbetsförmågan', 'nsubj', 'beakta')
('arbetsförmågan', 'nsubj', 'bedöms')
('arbetsförmågan', 'nsubj', 'nedsatt')
('arbetsförmåga', 'nsubj:pass', 'anses')
('arbetsförmåga', 'nsubj:pass', 'bedömas')
('arbetsförmåga', 'nsubj:pass', 'ändrats')
('arbetsförmåga', 'nsubj', 'ansetts')
('arbetsförmåga', 'nsubj', 'helt')
('arbetsförmåga', 'nsubj', 'nedsatt')
('arbetsförmåga', 'nsubj', 'ska')
('arbetsgivaravgifter', 'nmod', 'underlaget')
('arbetsgivardeklaration', 'nmod', 'uppgifter')
('arbetsgivare', 'nmod', 'anställda')
('arbetsgivare', 'nmod', 'anställning')
('arbetsgivare', 'nmod', 'arbete')
('arbetsgivare', 'nmod', 'bestämmelser')
('arbetsgivare', 'nmod', 'intyg')
('arbetsgivare', 'nmod', 'period')
('arbetsgivare', 'nmod', 'sjukdom')
('arbetsgivare', 'nmod', 'underrättelse')
('arbetsgivare', 'nmod', 'utlåtande')
('arbetsgivaren', 'nmod', 'anställningsförmåner')
('arbetsgivaren', 'nmod', 'arbete')
('arbetsgivaren', 'nmod', 'lön')
('arbetsgivaren', 'nsubj', 'betalat')
('arbetsgivaren', 'nsubj', 'erbjuder')
('arbetsgivaren', 'nsubj', 'fåmansföretag')
('arbetsgivaren', 'nsubj', 'haft')
('arbetsgivaren', 'nsubj', 'lämnar')
('arbetsgivaren', 'nsubj', 'lämnat')
('arbetsgivaren', 'nsubj', 'se')
('arbetsgivaren', 'nsubj', 'ska')
('arbetsgivaren', 'nsubj', 'svara')
('arbetsgivare', 'nsubj:pass', 'döms')
('arbetsgivare', 'nsubj:pass', 'försäkrades')
('arbetsgivare', 'nsubj:pass', 'underrättas')
('arbetsgivare', 'nsubj:pass', 'utsatt')
('arbetsgivare', 'nsubj', 'anmäla')
('arbetsgivare', 'nsubj', 'har')
('arbetsgivare', 'nsubj', 'skyldig')
('arbetsgivare', 'nsubj', 'skyldiga')
('arbetsgivare', 'nsubj', 'svara')
('arbetsgivare', 'nsubj', 'tillämpa')
('arbetsgivarinträde', 'nmod', 'bestämmelserna')
('arbetsgivarinträde', 'nmod', '§')
('arbetshjälpmedel', 'nmod', 'bidrag')
('arbetsinkomst', 'nsubj:pass', 'beaktas')
('arbetsinsatser', 'nmod', 'uppskattning')
('arbetslivsintroduktion', 'nmod', 'deltagande')
('arbetslöshetsförsäkring', 'nmod', 'arbetslöshetsersättning')
('arbetslöshetsförsäkring', 'nsubj', 'ska')
('arbetslöshetskassa', 'nmod', 'dagpenning')
('arbetslöshetskassor', 'nsubj', 'lämna')
('arbetslös', 'nsubj:pass', 'lämnas')
('arbetsmarknaden', 'nmod', 'läget')
('arbetsmiljölagen', 'nmod', 'stöd')
('arbetsresor', 'nmod', 'ersättning')
('arbetsskada', 'nmod', 'anledning')
('arbetsskada', 'nmod', 'bestämmelser')
('arbetsskada', 'nmod', 'bevisupptagning')
('arbetsskada', 'nmod', 'ersättning')
('arbetsskada', 'nmod', 'frågan')
('arbetsskada', 'nmod', 'förmåner')
('arbetsskada', 'nmod', 'försäkrade')
('arbetsskada', 'nmod', 'gruppsjukförsäkring')
('arbetsskada', 'nmod', 'inkomstförlust')
('arbetsskada', 'nmod', 'livränta')
('arbetsskada', 'nmod', 'risk')
('arbetsskada', 'nmod', 'sjukvårdsersättning')
('arbetsskada', 'nmod', 'till')
('arbetsskadan', 'nmod', 'anledning')
('arbetsskadan', 'nsubj', 'inträffade')
('arbetsskada', 'nsubj', 'medför')
('arbetsskada', 'nsubj', 'uppstår')
('arbetsskadeersättning', 'nmod', 'ansökan')
('arbetsskadeersättning', 'nmod', 'bestämmelser')
('arbetsskadeförsäkringen', 'nmod', 'efterlevandelivränta')
('arbetsskadeförsäkringen', 'nmod', 'ersättning')
('arbetsskadeförsäkringen', 'nmod', 'livränta')
('arbetsskadeförsäkringen', 'nsubj', 'ersätter')
('arbetsskadeförsäkring', 'nmod', 'bestämmelser')
('arbetsskadeförsäkring', 'nmod', 'ärende')
('arbetsskadesjukpenningen', 'nsubj:pass', 'avrundas')
('arbetsskadesjukpenning', 'nsubj:pass', 'lämnas')
('arbetsstället', 'nmod', 'färd')
('arbetstagare', 'nmod', 'föreskrifter')
('arbetstagare', 'nmod', 'hand-läggning')
('arbetstagaren', 'nsubj:pass', 'sysselsätts')
('arbetstagaren', 'nsubj', 'utsänd')
('arbetstagare', 'nsubj:pass', 'drabbas')
('arbetstagare', 'nsubj', 'har')
('arbetstiden', 'nsubj:pass', 'förläggs')
('arbetstiden', 'nsubj:pass', 'minskas')
('arbetstid', 'nmod', 'fjärdedel')
('arbetstid', 'nmod', 'fjärdedelar')
('arbetstid', 'nmod', 'hälften')
('arbetstid', 'nmod', 'lagen')
('arbetstid', 'nmod', 'schablonberäkning')
('arbetstid', 'nmod', 'timmar')
('arbetstid', 'nmod', 'åttondelar')
('arbetsuppgifter', 'nmod', 'beskrivning')
('arbetsuppgifter', 'nmod', 'vantrivsel')
('arvsvinster', 'nmod', 'fördelningen')
('arvsvinster', 'nmod', 'omräkning')
('arvsvinster', 'nmod', 'pensionsbehållningen')
('arvsvinster', 'nsubj:pass', 'fördelas')
('arvsvinster', 'nsubj', 'avlidit')
('arvsvinster', 'nsubj', 'uppnått')
('arvsvinstfaktorerna', 'nmod', 'fastställande')
('arvsvinstfaktorerna', 'nmod', 'föreskrifter')
('arvsvinstfaktorerna', 'nsubj', 'desamma')
('arvsvinstfaktorer', 'nmod', 'användning')
('arvsvinstfaktorer', 'nsubj:pass', 'grundas')
('arvsvinstomräkningen', 'nmod', 'år')
('arvsvinstomräkningen', 'nmod', 'året')
('arvsvinstomräkningen', 'nsubj', 'avser')
('arvsvinstomräkning', 'nsubj:pass', 'göras')
('assistansberättigade', 'nmod', 'hushållsgemenskap')
('assistansen', 'nmod', 'stöd-')
('assistansen', 'nsubj:pass', 'utförs')
('assistansen', 'nsubj:pass', 'utförts')
('assistansen', 'nsubj', 'börjar')
('assistansersättningen', 'nsubj:pass', 'betalas')
('assistansersättning', 'nmod', 'användningen')
('assistansersättning', 'nmod', 'beräkning')
('assistansersättning', 'nmod', 'beslut')
('assistansersättning', 'nmod', 'rätten')
('assistansersättning', 'nmod', 'utbetalning')
('assistansersättning', 'nmod', 'utbetalningen')
('assistansersättning', 'nmod', 'ändring')
('assistansersättning', 'nmod', 'återbetalning')
('assistansersättning', 'nmod', 'återkrav')
('assistansersättning', 'nsubj:pass', 'antas')
('assistansersättning', 'nsubj:pass', 'betalas')
('assistansersättning', 'nsubj:pass', 'beviljas')
('assistansersättning', 'nsubj:pass', 'beviljats')
('assistansersättning', 'nsubj:pass', 'dras')
('assistansersättning', 'nsubj:pass', 'göras')
('assistansersättning', 'nsubj:pass', 'lämnas')
('assistansersättning', 'nsubj', 'kommun')
('assistans', 'nmod', 'anordnare')
('assistans', 'nmod', 'behov')
('assistans', 'nmod', 'behovet')
('assistans', 'nmod', 'kostnader')
('assistans', 'nmod', 'köp')
('assistans', 'nsubj:pass', 'lämnats')
('assistans', 'nsubj:pass', 'tillämpas')
('assistanstimmarna', 'nmod', 'kostnaderna')
('assistanstimmar', 'nsubj:pass', 'utökas')
('assistenten', 'nsubj', 'arbetat')
('assistenten', 'nsubj', 'bosatt')
('assistenten', 'nsubj', 'fyllt')
('assistenten', 'nsubj', 'närstående')
('assistenter', 'nmod', 'kostnader')
('assistenter', 'nmod', 'uppgifter')
('assistent', 'nmod', 'biträde')
('assistent', 'nsubj:pass', 'anställts')
('avbetalningsplanen', 'nsubj:pass', 'träffades')
('avdelningar', 'nmod', 'förklaringar')
('avdraget', 'nmod', 'belopp')
('avdraget', 'nsubj:pass', 'avrundas')
('avdraget', 'nsubj:pass', 'göras')
('avdraget', 'nsubj:pass', 'görs')
('avdraget', 'nsubj', 'motsvara')
('avdraget', 'nsubj', 'utgöra')
('avdrag', 'nmod', 'begäran')
('avdrag', 'nmod', 'inkomsten')
('avdrag', 'nmod', 'inkomster')
('avdrag', 'nmod', 'rätt')
('avdrag', 'nsubj:pass', 'beräknas')
('avdrag', 'nsubj:pass', 'göras')
('avdrag', 'nsubj:pass', 'medges')
('avdrag', 'nsubj', 'ska')
('avgiften', 'nsubj:pass', 'beräknas')
('avgiften', 'nsubj', 'hänför')
('avgifterna', 'nsubj:pass', 'bestämmas')
('avgifterna', 'nsubj:pass', 'disponeras')
('avgifterna', 'nsubj:pass', 'tas')
('avgifterna', 'nsubj', 'helt')
('avgifter', 'nmod', 'andel')
('avgifter', 'nmod', 'garantipension')
('avgifter', 'nmod', 'uttag')
('avgifter', 'nmod', 'uttagandet')
('avgifter', 'nmod', 'uttaget')
('avgifter', 'nmod', 'vissa')
('avgifter', 'nmod', '§')
('avgifter', 'nsubj:pass', 'betalats')
('avgifter', 'nsubj:pass', 'tas')
('avgift', 'nsubj:pass', 'betalas')
('avgift', 'nsubj:pass', 'betalats')
('avgiftsbetalning', 'nmod', 'bestämmelserna')
('avgiftsbetalning', 'nmod', 'när')
('avgiftsbetalning', 'nmod', 'pensionspoäng')
('avgiftsbetalning', 'nmod', 'pensionsrätt')
('avgiftsbetalning', 'nmod', '§')
('avgiftsinkomsterna', 'nmod', 'produkten')
('avgiftsmedel', 'nmod', 'förvaltningen')
('avgiftsmedlen', 'nmod', 'avkastningen')
('avgiftsmedlen', 'nmod', 'förvaltningen')
('avgiftstillgång', 'nmod', 'summan')
('avkastningen', 'nsubj:pass', 'fördelas')
('avkastningen', 'nsubj', 'högre')
('avkastning', 'nmod', 'garantier')
('avkortas', 'nsubj:pass', 'tillgodoräknats')
('avkortning', 'nsubj:pass', 'göras')
('avkortning', 'nsubj:pass', 'tillgodoräknas')
('avliden', 'nmod', 'barn')
('avliden', 'nmod', 'förälder')
('avliden', 'nmod', 'livränta')
('avliden', 'nmod', 'omställningslivränta')
('avliden', 'nmod', 'sammantagna')
('avlidit', 'nmod', 'personer')
('avlidit', 'nsubj:pass', 'fastställs')
('avlidit', 'nsubj:pass', 'tillgodoräknas')
('avlidna', 'nmod', 'beräkning')
('avlidna', 'nmod', 'efterlevandepensionsunderlag')
('avlidna', 'nmod', 'förmåner')
('avlidna', 'nmod', 'livräntebeloppen')
('avlidna', 'nmod', 'omställningslivränta')
('avlidna', 'nmod', 'omställningspension')
('avlidna', 'nmod', 'pensionsbehållning')
('avlidna', 'nmod', 'pensionsbeloppen')
('avlidna', 'nsubj', 'levde')
('avlidne', 'nmod', 'barnlivränta')
('avlidne', 'nmod', 'försäkringstid')
('avlidne', 'nmod', 'kap.')
('avlidne', 'nmod', '§')
('avlidne', 'nsubj:pass', 'tillgodoräknas')
('avlidne', 'nsubj', 'efterlämnar')
('avlidne', 'nsubj', 'fick')
('avlidne', 'nsubj', 'fyllde')
('avlidne', 'nsubj', 'fyllt')
('avlidne', 'nsubj', 'född')
('avlidne', 'nsubj', 'försäkrad')
('avlidne', 'nsubj', 'haft')
('avlidne', 'nsubj', 'har')
('avlidne', 'nsubj', 'orsakat')
('avlidne', 'nsubj', 'ska')
('avlidne', 'nsubj', 'tagit')
('avlidne', 'nsubj', 'tillgodoräkna')
('avlidne', 'nsubj', 'uppnådde')
('avlidne', 'nsubj', 'uppnått')
('avrundningen', 'nsubj:pass', 'göras')
('avrundningen', 'nsubj', 'ske')
('avrundning', 'nsubj:pass', 'göras')
('avräkningen', 'nsubj:pass', 'göras')
('avräkning', 'nmod', 'pensionstillskott')
('avräkning', 'nmod', 'stycket')
('avräkning', 'nsubj:pass', 'göras')
('avräkning', 'nsubj:pass', 'upphävda')
('avräkning', 'nsubj', 'ske')
('avseende', 'nmod', 'kap.')
('avslagsbeslutet', 'nsubj', 'innehåller')
('avsättning', 'nmod', 'avdrag')
('avtalen', 'nsubj', 'medföra')
('avtalet', 'nsubj:pass', 'träffades')
('avtalet', 'nsubj', 'omfattar')
('avtalsgruppsjukförsäkringar', 'nmod', 'ersättning')
('balansindexet', 'nmod', 'föreskrifter')
('balansindexet', 'nsubj:pass', 'beräknats')
('balansindexet', 'nsubj:pass', 'bestäms')
('balansindexet', 'nsubj:pass', 'multipliceras')
('balansindexet', 'nsubj:pass', 'räknas')
('balansindex', 'nmod', 'kvoten')
('balansindex', 'nsubj:pass', 'beräknas')
('balansindex', 'nsubj:pass', 'beräknats')
('balansindex', 'nsubj:pass', 'fastställs')
('balansindex', 'nsubj:pass', 'fastställts')
('balanstalet', 'nmod', 'differensen')
('balanstalet', 'nmod', 'föreskrifter')
('balanstalet', 'nmod', 'produkten')
('balanstalet', 'nmod', 'året')
('balanstalet', 'nsubj:pass', 'avrundas')
('balanstalet', 'nsubj:pass', 'beräknas')
('balanstalet', 'nsubj:pass', 'utgörs')
('balanstalet', 'nsubj', 'avser')
('balanstalet', 'nsubj', 'understiger')
('balanstal', 'nmod', 'gången')
('balanstal', 'nmod', 'inkomstindex')
('balanstal', 'nsubj:pass', 'användas')
('balken', 'nmod', 'bestämmelse')
('balken', 'nsubj', 'indelad')
('balk', 'nmod', 'beräkningar')
('balk', 'nmod', 'bestämmelser')
('balk', 'nmod', 'bestämmelserna')
('balk', 'nmod', 'ersättning')
('balk', 'nmod', 'ersättningar')
('balk', 'nmod', 'förmåner')
('balk', 'nmod', 'förutsättningarna')
('balk', 'nmod', 'inkomst')
('balk', 'nmod', 'livränta')
('balk', 'nmod', 'myndighets')
('balk', 'nmod', 'rehabiliteringspenning')
('balk', 'nmod', 'sjukpenning')
('balk', 'nmod', 'tillämpningen')
('balk', 'nmod', 'ålderspension')
('balk', 'nsubj', 'innehåller')
('banker', 'nsubj', 'lämna')
('barnbidraget', 'nsubj:pass', 'delas')
('barnbidraget', 'nsubj:pass', 'lämnas')
('barnbidraget', 'nsubj', 'får')
('barnbidrag', 'nmod', 'barn')
('barnbidrag', 'nmod', 'kraven')
('barnbidrag', 'nmod', 'rätt')
('barnbidrag', 'nmod', 'rätten')
('barnbidrag', 'nmod', 'utbetalning')
('barnbidrag', 'nsubj:pass', 'betalas')
('barnbidrag', 'nsubj:pass', 'lyfts')
('barnbidrag', 'nsubj:pass', 'lämnas')
('barnbidrag', 'nsubj', 'upphört')
('barnen', 'nmod', 'dagar')
('barnen', 'nmod', 'merkostnaderna')
('barnet', 'nmod', '1')
('barnet', 'nmod', 'bedömning')
('barnet', 'nmod', 'behandling')
('barnet', 'nmod', 'behandlingen')
('barnet', 'nmod', 'faderskap')
('barnet', 'nmod', 'föräldrabalken')
('barnet', 'nmod', 'kronor')
('barnet', 'nmod', 'sammanbor')
('barnet', 'nmod', 'sjukdom')
('barnet', 'nmod', 'skatt')
('barnet', 'nmod', 'studiestödslagen')
('barnet', 'nmod', 'tillsynen')
('barnet', 'nmod', 'underhållsbidrag')
('barnet', 'nmod', 'underhållsstöd')
('barnet', 'nmod', 'vård')
('barnet', 'nmod', 'vården')
('barnet', 'nmod', 'vårdnaden')
('barnet', 'nmod', 'vårdnadshavare')
('barnet', 'nsubj:pass', 'anses')
('barnet', 'nsubj:pass', 'antas')
('barnet', 'nsubj:pass', 'beräknas')
('barnet', 'nsubj:pass', 'fötts')
('barnet', 'nsubj:pass', 'omfattas')
('barnet', 'nsubj:pass', 'tagits')
('barnet', 'nsubj:pass', 'vårdas')
('barnet', 'nsubj', 'anlände')
('barnet', 'nsubj', 'avled')
('barnet', 'nsubj', 'avlider')
('barnet', 'nsubj', 'avlidit')
('barnet', 'nsubj', 'avslutat')
('barnet', 'nsubj', 'bedriva')
('barnet', 'nsubj', 'behov')
('barnet', 'nsubj', 'blir')
('barnet', 'nsubj', 'bor')
('barnet', 'nsubj', 'bosatt')
('barnet', 'nsubj', 'deltar')
('barnet', 'nsubj', 'fick')
('barnet', 'nsubj', 'folkbokfört')
('barnet', 'nsubj', 'fyllde')
('barnet', 'nsubj', 'fyller')
